"No.","Time","Source","Destination","Protocol","Length","Info"
"2460","60.803137","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2462","60.820056","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2464","60.835633","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2466","60.846090","192.168.2.107","5.42.169.125","UDP","100","51791  >  26508 Len=58"
"2468","60.855804","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2470","60.877374","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2472","60.889827","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2474","60.901306","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2475","60.908387","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2478","60.933840","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2480","60.952465","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2481","60.960111","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2483","60.971103","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2485","60.983021","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2488","60.996830","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2491","61.007994","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2492","61.020914","192.168.2.107","5.42.169.125","UDP","130","51791  >  26508 Len=88"
"2494","61.031148","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2496","61.044359","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2500","61.085524","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2501","61.092570","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2503","61.104364","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
