"No.","Time","Source","Destination","Protocol","Length","Info"
"192","38.161272","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"195","38.205604","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"196","38.206404","5.42.169.125","192.168.2.107","UDP","323","26508  >  51791 Len=281"
"201","38.464510","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"202","38.466362","5.42.169.125","192.168.2.107","UDP","730","26508  >  51791 Len=688"
"207","38.724671","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"208","38.726057","5.42.169.125","192.168.2.107","UDP","578","26508  >  51791 Len=536"
"214","38.983633","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"215","38.985139","5.42.169.125","192.168.2.107","UDP","333","26508  >  51791 Len=291"
"218","39.243839","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"219","39.244833","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"221","39.503240","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"222","39.503962","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"225","39.763850","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"226","39.764846","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"229","40.023845","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"230","40.024540","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"235","40.284409","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"236","40.284858","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"249","40.542950","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"250","40.543078","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"257","40.802805","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"258","40.803284","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"261","41.062718","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"262","41.063880","5.42.169.125","192.168.2.107","UDP","193","26508  >  51791 Len=151"
"267","41.322895","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"268","41.323794","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"273","41.583895","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"274","41.583896","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"278","41.841477","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"279","41.842893","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"282","42.101763","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"283","42.102349","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"287","42.363326","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"288","42.363453","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"291","42.619989","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"292","42.620702","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"296","42.879923","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"297","42.879924","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"300","43.137135","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"301","43.137857","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"306","43.397015","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"307","43.397690","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"313","43.655489","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"314","43.656209","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"318","43.914950","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"319","43.915945","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"323","44.173762","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"324","44.174947","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"329","44.433518","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"330","44.434956","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"334","44.693690","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"335","44.694961","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"338","44.953549","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"339","44.954966","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"343","45.213975","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"344","45.214970","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"351","45.472450","5.42.169.125","192.168.2.107","UDP","76","26508  >  51791 Len=34"
"352","45.473340","5.42.169.125","192.168.2.107","UDP","139","26508  >  51791 Len=97"
"358","45.689510","5.42.169.125","192.168.2.107","UDP","1272","26508  >  51791 Len=1230"
"359","45.704507","5.42.169.125","192.168.2.107","UDP","1272","26508  >  51791 Len=1230"
"360","45.720037","5.42.169.125","192.168.2.107","UDP","1272","26508  >  51791 Len=1230"
"361","45.735989","5.42.169.125","192.168.2.107","UDP","1264","26508  >  51791 Len=1222"
"362","45.750989","5.42.169.125","192.168.2.107","UDP","1268","26508  >  51791 Len=1226"
